Text,API_1,API_2,Relation (fs/bd/fr/ec/lc/fc/tc)
"In case you're not on Java 8 yet, or are forced to use java.util.Date, then format the date using SimpleDateFormat using a format pattern matching the input string.",java.lang.string,java.util.date,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no')]"
"In case you're not on Java 8 yet, or are forced to use java.util.Date, then format the date using SimpleDateFormat using a format pattern matching the input string.",java.lang.string,java.text.simpledateformat,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'no', 'no', 'no'), ('no', 'no', 'yes', 'no')]"
"In case you're not on Java 8 yet, or are forced to use java.util.Date, then format the date using SimpleDateFormat using a format pattern matching the input string.",java.util.date,java.text.simpledateformat,"[('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no'), ('yes', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('yes', 'yes', 'yes', 'yes')]"
"Note the importance of the explicit Locale argument. If you omit it, then it will use the default locale which is not necessarily English as used in the month name of the input string. If the locale doesn't match with the input string, then you would confusingly get a java.text.ParseException even though when the format pattern seems valid.",java.util.locale,java.text.parseexception,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no'), ('yes', 'no', 'no', 'no'), ('no', 'no', 'no', 'no')]"
"The split("";"", 2)[0] is there to get rid of cookie attributes which are irrelevant for the server side like expires, path, etc. Alternatively, you could also use cookie.substring(0, cookie.indexOf(';')) instead of split().",java.lang.string.split,java.lang.string.substring,"[('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('no', 'yes', 'yes', 'yes'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no')]"
"The split("";"", 2)[0] is there to get rid of cookie attributes which are irrelevant for the server side like expires, path, etc. Alternatively, you could also use cookie.substring(0, cookie.indexOf(';')) instead of split().",java.lang.string.split,java.lang.string.indexof,"[('no', 'no', 'yes', 'no'), ('no', 'no', 'yes', 'no'), ('no', 'yes', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'yes', 'no')]"
"The split("";"", 2)[0] is there to get rid of cookie attributes which are irrelevant for the server side like expires, path, etc. Alternatively, you could also use cookie.substring(0, cookie.indexOf(';')) instead of split().",java.lang.string.substring,java.lang.string.indexof,"[('no', 'no', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('no', 'no', 'no', 'no')]"
"When a client visits the webapp for the first time and/or the HttpSession is obtained for the first time via request.getSession(), the servlet container creates a new HttpSession object, generates a long and unique ID (which you can get by session.getId()), and stores it in the server's memory. The servlet container also sets a Cookie in the Set-Cookie header of the HTTP response with JSESSIONID as its name and the unique session ID as its value.",javax.servlet.http.httpservletrequest.getsession,javax.servlet.http.httpsession.getid,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('no', 'no', 'yes', 'no')]"
"When a client visits the webapp for the first time and/or the HttpSession is obtained for the first time via request.getSession(), the servlet container creates a new HttpSession object, generates a long and unique ID (which you can get by session.getId()), and stores it in the server's memory. The servlet container also sets a Cookie in the Set-Cookie header of the HTTP response with JSESSIONID as its name and the unique session ID as its value.",javax.servlet.http.httpservletrequest.getsession,javax.servlet.http.cookie.jsessionid,"[('no', 'no', 'no', 'no'), ('no', 'no', 'yes', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('no', 'no', 'yes', 'no')]"
"When a client visits the webapp for the first time and/or the HttpSession is obtained for the first time via request.getSession(), the servlet container creates a new HttpSession object, generates a long and unique ID (which you can get by session.getId()), and stores it in the server's memory. The servlet container also sets a Cookie in the Set-Cookie header of the HTTP response with JSESSIONID as its name and the unique session ID as its value.",javax.servlet.http.httpsession.getid,javax.servlet.http.cookie.jsessionid,"[('no', 'no', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('yes', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'no', 'yes', 'yes')]"
"A DispatcherServlet is just a typical Java EE Servlet. You register it with your typical &lt;web.xml&gt; &lt;servlet-class&gt; and &lt;servlet-mapping&gt; declaration, or directly through ServletContext#addServlet in a WebApplicationInitializer, or with whatever mechanism Spring boot uses. As such, you must rely on the url mapping logic specified in the Servlet specification, see Chapter 12. See also",javax.servlet.dispatcherservlet,javax.servlet.servlet,"[('no', 'no', 'no', 'no'), ('no', 'no', 'yes', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('no', 'no', 'no', 'no')]"
"A DispatcherServlet is just a typical Java EE Servlet. You register it with your typical &lt;web.xml&gt; &lt;servlet-class&gt; and &lt;servlet-mapping&gt; declaration, or directly through ServletContext#addServlet in a WebApplicationInitializer, or with whatever mechanism Spring boot uses. As such, you must rely on the url mapping logic specified in the Servlet specification, see Chapter 12. See also",javax.servlet.dispatcherservlet,javax.servlet.servletcontext.addservlet,"[('no', 'no', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('no', 'no', 'yes', 'no'), ('no', 'yes', 'no', 'no'), ('yes', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'yes', 'no')]"
"A DispatcherServlet is just a typical Java EE Servlet. You register it with your typical &lt;web.xml&gt; &lt;servlet-class&gt; and &lt;servlet-mapping&gt; declaration, or directly through ServletContext#addServlet in a WebApplicationInitializer, or with whatever mechanism Spring boot uses. As such, you must rely on the url mapping logic specified in the Servlet specification, see Chapter 12. See also",javax.servlet.dispatcherservlet,javax.servlet.webapplicationinitializer,"[('no', 'no', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'no', 'no', 'no'), ('yes', 'no', 'yes', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('no', 'no', 'no', 'no')]"
"A DispatcherServlet is just a typical Java EE Servlet. You register it with your typical &lt;web.xml&gt; &lt;servlet-class&gt; and &lt;servlet-mapping&gt; declaration, or directly through ServletContext#addServlet in a WebApplicationInitializer, or with whatever mechanism Spring boot uses. As such, you must rely on the url mapping logic specified in the Servlet specification, see Chapter 12. See also",javax.servlet.dispatcherservlet,javax.servlet.servlet.urlmapping,"[('no', 'no', 'no', 'no'), ('no', 'no', 'yes', 'no'), ('no', 'no', 'yes', 'no'), ('no', 'yes', 'no', 'no'), ('yes', 'yes', 'yes', 'yes'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no')]"
"A DispatcherServlet is just a typical Java EE Servlet. You register it with your typical &lt;web.xml&gt; &lt;servlet-class&gt; and &lt;servlet-mapping&gt; declaration, or directly through ServletContext#addServlet in a WebApplicationInitializer, or with whatever mechanism Spring boot uses. As such, you must rely on the url mapping logic specified in the Servlet specification, see Chapter 12. See also",javax.servlet.dispatcherservlet,javax.servlet.servletspecification,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'yes', 'no'), ('no', 'yes', 'no', 'no'), ('yes', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'yes', 'no')]"
"A DispatcherServlet is just a typical Java EE Servlet. You register it with your typical &lt;web.xml&gt; &lt;servlet-class&gt; and &lt;servlet-mapping&gt; declaration, or directly through ServletContext#addServlet in a WebApplicationInitializer, or with whatever mechanism Spring boot uses. As such, you must rely on the url mapping logic specified in the Servlet specification, see Chapter 12. See also",javax.servlet.servlet,javax.servlet.servletcontext.addservlet,"[('no', 'no', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('no', 'no', 'yes', 'no'), ('yes', 'no', 'no', 'no'), ('yes', 'yes', 'yes', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('yes', 'yes', 'no', 'yes')]"
"A DispatcherServlet is just a typical Java EE Servlet. You register it with your typical &lt;web.xml&gt; &lt;servlet-class&gt; and &lt;servlet-mapping&gt; declaration, or directly through ServletContext#addServlet in a WebApplicationInitializer, or with whatever mechanism Spring boot uses. As such, you must rely on the url mapping logic specified in the Servlet specification, see Chapter 12. See also",javax.servlet.servlet,javax.servlet.webapplicationinitializer,"[('no', 'no', 'no', 'no'), ('no', 'no', 'yes', 'no'), ('no', 'yes', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'yes', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('no', 'no', 'no', 'no')]"
"A DispatcherServlet is just a typical Java EE Servlet. You register it with your typical &lt;web.xml&gt; &lt;servlet-class&gt; and &lt;servlet-mapping&gt; declaration, or directly through ServletContext#addServlet in a WebApplicationInitializer, or with whatever mechanism Spring boot uses. As such, you must rely on the url mapping logic specified in the Servlet specification, see Chapter 12. See also",javax.servlet.servlet,javax.servlet.servlet.urlmapping,"[('no', 'no', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('no', 'no', 'no', 'no')]"
"A DispatcherServlet is just a typical Java EE Servlet. You register it with your typical &lt;web.xml&gt; &lt;servlet-class&gt; and &lt;servlet-mapping&gt; declaration, or directly through ServletContext#addServlet in a WebApplicationInitializer, or with whatever mechanism Spring boot uses. As such, you must rely on the url mapping logic specified in the Servlet specification, see Chapter 12. See also",javax.servlet.servlet,javax.servlet.servletspecification,"[('no', 'no', 'yes', 'no'), ('no', 'no', 'yes', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'yes', 'yes')]"
"A DispatcherServlet is just a typical Java EE Servlet. You register it with your typical &lt;web.xml&gt; &lt;servlet-class&gt; and &lt;servlet-mapping&gt; declaration, or directly through ServletContext#addServlet in a WebApplicationInitializer, or with whatever mechanism Spring boot uses. As such, you must rely on the url mapping logic specified in the Servlet specification, see Chapter 12. See also",javax.servlet.servletcontext.addservlet,javax.servlet.webapplicationinitializer,"[('no', 'no', 'no', 'no'), ('no', 'no', 'yes', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'yes', 'yes'), ('no', 'no', 'no', 'no')]"
"A DispatcherServlet is just a typical Java EE Servlet. You register it with your typical &lt;web.xml&gt; &lt;servlet-class&gt; and &lt;servlet-mapping&gt; declaration, or directly through ServletContext#addServlet in a WebApplicationInitializer, or with whatever mechanism Spring boot uses. As such, you must rely on the url mapping logic specified in the Servlet specification, see Chapter 12. See also",javax.servlet.servletcontext.addservlet,javax.servlet.servlet.urlmapping,"[('no', 'no', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('no', 'no', 'no', 'no')]"
"A DispatcherServlet is just a typical Java EE Servlet. You register it with your typical &lt;web.xml&gt; &lt;servlet-class&gt; and &lt;servlet-mapping&gt; declaration, or directly through ServletContext#addServlet in a WebApplicationInitializer, or with whatever mechanism Spring boot uses. As such, you must rely on the url mapping logic specified in the Servlet specification, see Chapter 12. See also",javax.servlet.servletcontext.addservlet,javax.servlet.servletspecification,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('yes', 'no', 'yes', 'yes')]"
"A DispatcherServlet is just a typical Java EE Servlet. You register it with your typical &lt;web.xml&gt; &lt;servlet-class&gt; and &lt;servlet-mapping&gt; declaration, or directly through ServletContext#addServlet in a WebApplicationInitializer, or with whatever mechanism Spring boot uses. As such, you must rely on the url mapping logic specified in the Servlet specification, see Chapter 12. See also",javax.servlet.webapplicationinitializer,javax.servlet.servlet.urlmapping,"[('no', 'no', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'no', 'no', 'no'), ('yes', 'yes', 'yes', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('no', 'no', 'no', 'no')]"
"A DispatcherServlet is just a typical Java EE Servlet. You register it with your typical &lt;web.xml&gt; &lt;servlet-class&gt; and &lt;servlet-mapping&gt; declaration, or directly through ServletContext#addServlet in a WebApplicationInitializer, or with whatever mechanism Spring boot uses. As such, you must rely on the url mapping logic specified in the Servlet specification, see Chapter 12. See also",javax.servlet.webapplicationinitializer,javax.servlet.servletspecification,"[('no', 'no', 'no', 'no'), ('no', 'no', 'yes', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('no', 'no', 'yes', 'no')]"
"A DispatcherServlet is just a typical Java EE Servlet. You register it with your typical &lt;web.xml&gt; &lt;servlet-class&gt; and &lt;servlet-mapping&gt; declaration, or directly through ServletContext#addServlet in a WebApplicationInitializer, or with whatever mechanism Spring boot uses. As such, you must rely on the url mapping logic specified in the Servlet specification, see Chapter 12. See also",javax.servlet.servlet.urlmapping,javax.servlet.servletspecification,"[('no', 'no', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('no', 'no', 'no', 'no')]"
"You must override hashCode() in every class that overrides equals(). Failure to do so will result in a violation of the general contract for Object.hashCode(), which will prevent your class from functioning properly in conjunction with all hash-based collections, including HashMap, HashSet, and Hashtable.",java.lang.object.hashcode,java.lang.object.equals,"[('no', 'no', 'no', 'no'), ('no', 'no', 'yes', 'no'), ('no', 'no', 'yes', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no')]"
"I rarely see anyone using the .hasNext() properly, by testing for the generic .hasNext() to control the event loop, and then using the if(.hasNextXxx()) idiom lets you decide how and what to proceed with your code without having to worry about asking for an int when none is available, thus no exception handling code.",java.util.iterator.hasnext,java.util.iterator.hasnextxxx,"[('yes', 'no', 'yes', 'yes'), ('yes', 'no', 'yes', 'yes'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'yes', 'yes')]"
If you use ChromeDriver driver = new ChromeDriver(); the ChromeDriver instance which will get created through that we will be only able to invoke and act on the methods implemented by ChromeDriver and supported by Chrome Browser only. To act with other browsers we have to specifically create individual objects as below :,org.openqa.selenium.chrome.chromedriver,org.openqa.selenium.chrome.chromebrowser,"[('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'yes', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'yes', 'yes')]"
"You could probably use Joda-Time as well, but I don't know why you should bother with that (Update 2022; maybe because the entire javax.xml.bind section is missing from Android's javax.xml package).",org.joda.time.joda-time,javax.xml.bind,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no')]"
"You could probably use Joda-Time as well, but I don't know why you should bother with that (Update 2022; maybe because the entire javax.xml.bind section is missing from Android's javax.xml package).",org.joda.time.joda-time,javax.xml,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no')]"
"You could probably use Joda-Time as well, but I don't know why you should bother with that (Update 2022; maybe because the entire javax.xml.bind section is missing from Android's javax.xml package).",javax.xml.bind,javax.xml,"[('no', 'no', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'yes', 'yes'), ('yes', 'yes', 'yes', 'yes')]"
"If you are working with a source other than a file, you can use the lines() method in BufferedReader instead.",java.io.bufferedreader.lines,java.io.bufferedreader,"[('no', 'no', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('no', 'yes', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('yes', 'no', 'yes', 'yes')]"
"In this version of the code, the loop thread calls wait(), which puts the thread the sleep. It will not use any CPU cycles while sleeping. After the second thread sets the variable, it calls notifyAll() to wake up any/all threads which were waiting on that object. This is like having the pizza guy ring the doorbell, so you can sit down and rest while waiting, instead of standing awkwardly at the door.",java.lang.object.wait,java.lang.object.notifyall,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'yes', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'yes', 'yes'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no')]"
Safe with leading zeros (unlike BigInteger) and with negative byte values (unlike Byte.parseByte),java.math.biginteger,java.lang.byte.parsebyte,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'yes', 'yes')]"
"In this case I suggest using the debugger or at least System.out.println and print the length of the String you're trying to parse. If it shows more than the number of digits, try passing stringToParse.trim() to the parsing method. If it won't work, copy the whole string after the : and decode it using online decoder. It'll give you codes of all characters.",java.lang.system.out.println,java.lang.string.trim,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no')]"
"Run java with the option -Djava.net.preferIPv4Stack=true to force java to use IPv4 instead of IPv6. On Linux, this could also be achieved by running (or placing it inside /etc/profile:",java.lang.system,java.net.inetaddress.ipv4,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no')]"
"Run java with the option -Djava.net.preferIPv4Stack=true to force java to use IPv4 instead of IPv6. On Linux, this could also be achieved by running (or placing it inside /etc/profile:",java.lang.system,java.net.inetaddress.ipv6,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no')]"
